Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
164286,Sony WH-1000X M3 Headphones,1,300,04/17/19 13:18,"469 Walnut St, Dublin City, DUB D01"
164287,Lightning Charging Cable,1,14.95,04/26/19 17:46,"406 Meadow St, Dundalk, LOU A91"
164288,34in Ultrawide Monitor,1,379.99,04/04/19 22:46,"448 Dorset Street St, Dunboyne, MEA A86"
164289,USB-C Charging Cable,1,11.95,04/29/19 09:57,"453 Meadow St, Dublin City, DUB D01"
164290,AA Batteries (4-pack),2,3.84,04/01/19 12:55,"711 Fownes Street St, Galway City, GAL H91"
164291,Lightning Charging Cable,1,14.95,04/28/19 11:07,"330 South Street St, Galway City, GAL H91"
164292,34in Ultrawide Monitor,1,379.99,04/07/19 17:37,"567 South Street St, Dunboyne, MEA A86"
164293,27in FHD Monitor,1,149.99,04/11/19 09:03,"407 Center St, Wexford City, WEX Y35"
164294,27in 4K Gaming Monitor,1,389.99,04/16/19 16:15,"84 North Strand St, Dublin City, DUB D01"
164295,Lightning Charging Cable,1,14.95,04/15/19 19:41,"862 Lincoln St, Dublin City, DUB D01"
164296,AAA Batteries (4-pack),2,2.99,04/14/19 15:07,"799 Earl Street St, Drogheda, LOU A92"
164297,Apple Airpods Headphones,1,150,04/10/19 20:24,"488 Crown Alley St, Dublin City, DUB D01"
164298,OLED Flatscreen TV,1,3300,04/17/19 10:20,"712 Willow Road St, Wexford City, WEX Y35"
164299,USB-C Charging Cable,1,11.95,04/16/19 14:28,"563 Dawson Street St, Wexford City, WEX Y35"
164300,27in FHD Monitor,1,149.99,04/30/19 20:48,"598 Exchange Street St, Monaghan Town, MON H18"
164301,OLED Flatscreen TV,1,3300,04/06/19 11:33,"224 Andrews Lane St, Dublin City, DUB D01"
164302,Samsung Galaxy S10,1,779,04/28/19 22:27,"798 Adams Place St, Kilkenny Town, KIL R95"
164302,USB-C Charging Cable,2,11.95,04/28/19 22:27,"798 Adams Place St, Kilkenny Town, KIL R95"
164302,Lightning Charging Cable,1,14.95,04/28/19 22:27,"798 Adams Place St, Kilkenny Town, KIL R95"
164303,AAA Batteries (4-pack),1,2.99,04/03/19 20:27,"494 Wilson St, Dublin City, DUB D01"
164304,27in FHD Monitor,1,149.99,04/19/19 16:04,"283 Hickey Road St, Cork City, COR T12"
164305,Wired Headphones,2,11.99,04/18/19 13:35,"968 Bride Street St, Cork City, COR T12"
164306,iPhone XS,1,770,04/03/19 12:07,"567 Madison St, Dunboyne, MEA A86"
164307,Macbook Pro Laptop,1,1700,04/06/19 19:39,"14 Fosters Place St, Cork City, COR T12"
164308,34in Ultrawide Monitor,1,379.99,04/23/19 11:54,"920 Pine St, Dublin City, DUB D01"
164309,AAA Batteries (4-pack),1,2.99,04/27/19 10:29,"53 Abbey Street St, Dublin City, DUB D01"
164310,USB-C Charging Cable,1,11.95,04/14/19 10:47,"9 Grand Canal Way St, Monaghan Town, MON H18"
164311,Macbook Pro Laptop,1,1700,04/24/19 10:57,"836 Pine St, Dublin City, DUB D01"
164312,Sony WH-1000X M3 Headphones,1,300,04/18/19 16:57,"92 Lakeview St, Dunboyne, MEA A86"
164313,Apple Airpods Headphones,1,150,04/01/19 16:21,"337 Gardiner Street St, Dublin City, DUB D01"
164314,34in Ultrawide Monitor,1,379.99,04/18/19 14:49,"851 Bride Street St, Limerick City, LIM V94"
164315,USB-C Charging Cable,1,11.95,04/22/19 21:57,"258 West Moreland Street St, Dublin City, DUB D01"
164316,27in 4K Gaming Monitor,1,389.99,04/10/19 23:30,"495 North Strand St, Dundalk, LOU A91"
164317,Wired Headphones,1,11.99,04/17/19 01:13,"385 Cherry Orchid St, Limerick City, LIM V94"
