Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
220670,Apple Airpods Headphones,1,150,08/05/19 16:24,"197 Gardiner Street St, Limerick City, LIM V94"
220671,27in 4K Gaming Monitor,1,389.99,08/08/19 14:19,"277 Church St, Dundalk, LOU A91"
220672,USB-C Charging Cable,1,11.95,08/15/19 21:02,"269 Ridge St, Galway City, GAL H91"
220673,USB-C Charging Cable,1,11.95,08/19/19 10:45,"151 Dawson Street St, Dublin City, DUB D01"
220674,Lightning Charging Cable,1,14.95,08/25/19 08:55,"798 Willow Road St, Monaghan Town, MON H18"
220675,Dell XPS 13 Laptop,1,1200,08/24/19 22:03,"618 Essex Street St, Dublin City, DUB D01"
220676,27in 4K Gaming Monitor,1,389.99,08/04/19 19:45,"112 Pine St, Dundalk, LOU A91"
220677,AAA Batteries (4-pack),1,2.99,08/07/19 22:12,"787 Dorset Street St, Dunboyne, MEA A86"
220678,Macbook Pro Laptop,1,1700,08/04/19 20:48,"336 Wilson St, Monaghan Town, MON H18"
220679,AAA Batteries (4-pack),1,2.99,08/12/19 17:24,"106 Jackson St, Kilkenny Town, KIL R95"
220680,Sony WH-1000X M3 Headphones,1,300,08/24/19 08:58,"290 Andrews Lane St, Dublin City, DUB D01"
220681,USB-C Charging Cable,1,11.95,08/15/19 20:16,"988 Crown Alley St, Dunboyne, MEA A86"
220681,Lightning Charging Cable,1,14.95,08/15/19 20:16,"988 Crown Alley St, Dunboyne, MEA A86"
220682,Wired Headphones,2,11.99,08/24/19 00:47,"69 Hickey Road St, Monaghan Town, MON H18"
220683,Apple Airpods Headphones,1,150,08/05/19 13:32,"48 Hill St, Dublin City, DUB D01"
220684,20in Monitor,1,109.99,08/08/19 00:00,"406 Willow Road St, Dundalk, LOU A91"
220685,AAA Batteries (4-pack),1,2.99,08/09/19 20:30,"97 Highland Road St, Monaghan Town, MON H18"
220686,20in Monitor,1,109.99,08/15/19 21:12,"70 Henry Street St, Cork City, COR T12"
