Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
276321,34in Ultrawide Monitor,1,379.99,12/28/19 10:08,"103 Jefferson Street St, Dundalk, LOU A91"
276322,USB-C Charging Cable,1,11.95,12/25/19 10:51,"483 Henry Street St, Dunboyne, MEA A86"
276323,Wired Headphones,1,11.99,12/29/19 15:01,"355 Dorset Street St, Dundalk, LOU A91"
276324,Lightning Charging Cable,1,14.95,12/27/19 05:04,"473 Gardiner Street St, Dublin City, DUB D01"
276325,Dell XPS 13 Laptop,1,1200.0,12/12/19 20:53,"484 Johnson St, Dunboyne, MEA A86"
276326,27in 4K Gaming Monitor,1,389.99,12/06/19 13:33,"227 North Strand St, Dublin City, DUB D01"
276327,AAA Batteries (4-pack),1,2.99,12/19/19 10:43,"3 Dawson Street St, Dublin City, DUB D01"
276328,AAA Batteries (4-pack),1,2.99,12/01/19 20:18,"875 Chestnut Grove St, Kilkenny Town, KIL R95"
276329,Lightning Charging Cable,1,14.95,12/03/19 13:46,"450 Cherry Orchid St, Cork City, COR T12"
276330,Macbook Pro Laptop,1,1700.0,12/18/19 09:10,"446 Church St, Galway City, GAL H91"
276331,Google Pixel 3,1,550.0,12/18/19 07:35,"658 Chestnut Grove St, Cork City, COR T12"
276331,USB-C Charging Cable,1,11.95,12/18/19 07:35,"658 Chestnut Grove St, Cork City, COR T12"
276332,AAA Batteries (4-pack),1,2.99,12/21/19 19:34,"328 Forest St, Dundalk, LOU A91"
276333,Samsung Galaxy S10,1,779.0,12/27/19 08:47,"957 Center St, Dunboyne, MEA A86"
276334,AA Batteries (4-pack),1,3.84,12/25/19 16:50,"243 13th St, Galway City, GAL H91"
276335,Wired Headphones,1,11.99,12/18/19 18:52,"402 Crown Alley St, Cork City, COR T12"
276336,USB-C Charging Cable,1,11.95,12/07/19 13:41,"758 Andrews Lane St, Galway City, GAL H91"
276337,AAA Batteries (4-pack),1,2.99,12/15/19 20:16,"943 Fosters Place St, Dublin City, DUB D01"
276338,AAA Batteries (4-pack),3,2.99,12/14/19 15:18,"941 South Street St, Kilkenny Town, KIL R95"
276339,AA Batteries (4-pack),2,3.84,12/28/19 08:33,"303 Exchange Street St, Wexford City, WEX Y35"
276340,Apple Airpods Headphones,1,150.0,12/10/19 22:04,"43 14th St, Dublin City, DUB D01"
276341,OLED Flatscreen TV,1,3300.0,12/24/19 09:41,"895 Fosters Place St, Dundalk, LOU A91"
276342,iPhone XS,1,770.0,12/02/19 18:53,"762 Chestnut Grove St, Dublin City, DUB D01"
276343,27in FHD Monitor,1,149.99,12/28/19 12:33,"209 Spruce St, Dublin City, DUB D01"
276344,AA Batteries (4-pack),2,3.84,12/04/19 10:01,"971 Exchange Street St, Monaghan Town, MON H18"
276345,AA Batteries (4-pack),3,3.84,12/27/19 13:16,"549 Dorset Street St, Cork City, COR T12"
276346,Sony WH-1000X M3 Headphones,1,300.0,12/08/19 07:01,"550 14th St, Dublin City, DUB D01"
276347,Sony WH-1000X M3 Headphones,1,300.0,12/11/19 19:39,"408 Cherry Orchid St, Galway City, GAL H91"
276348,Apple Airpods Headphones,1,150.0,12/10/19 10:33,"101 Johnson St, Monaghan Town, MON H18"
276349,Sony WH-1000X M3 Headphones,1,300.0,12/14/19 19:07,"632 Pine St, Cork City, COR T12"
276350,Apple Airpods Headphones,1,150.0,12/22/19 09:20,"804 Lakeview St, Galway City, GAL H91"
276351,AA Batteries (4-pack),2,3.84,12/15/19 20:11,"807 Bride Street St, Galway City, GAL H91"
276352,20in Monitor,1,109.99,12/31/19 12:06,"656 Walnut St, Limerick City, LIM V94"
