Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
152019,Apple Airpods Headphones,2,150,02/10/19 19:06,"293 Dawson Street St, Kilkenny Town, KIL R95"
152020,USB-C Charging Cable,1,11.95,02/16/19 17:24,"124 Hill St, Limerick City, LIM V94"
152021,Samsung Galaxy S10,1,779,02/24/19 16:10,"967 Abbey Street St, Dunboyne, MEA A86"
152021,AA Batteries (4-pack),2,3.84,02/24/19 16:10,"967 Abbey Street St, Dunboyne, MEA A86"
152022,USB-C Charging Cable,1,11.95,02/22/19 21:59,"619 West Moreland Street St, Dunboyne, MEA A86"
152023,Apple Airpods Headphones,1,150,02/02/19 12:56,"899 14th St, Dublin City, DUB D01"
152024,AAA Batteries (4-pack),1,2.99,02/11/19 14:18,"162 Walnut St, Dundalk, LOU A91"
152025,Lightning Charging Cable,1,14.95,02/24/19 18:11,"777 Pine St, Dublin City, DUB D01"
152026,27in 4K Gaming Monitor,1,389.99,02/23/19 23:20,"505 Hill St, Dublin City, DUB D01"
152027,Sony WH-1000X M3 Headphones,1,300,02/11/19 19:38,"600 Dawson Street St, Dunboyne, MEA A86"
152028,Lightning Charging Cable,2,14.95,02/28/19 17:52,"352 Meadow St, Dunboyne, MEA A86"
152029,Lightning Charging Cable,1,14.95,02/19/19 23:26,"698 Henry Street St, Wexford City, WEX Y35"
152030,Lightning Charging Cable,1,14.95,02/28/19 20:14,"919 Jefferson Street St, Limerick City, LIM V94"
152031,AAA Batteries (4-pack),1,2.99,02/18/19 20:48,"680 14th St, Monaghan Town, MON H18"
152032,Wired Headphones,1,11.99,02/24/19 09:38,"263 Crane Lane St, Galway City, GAL H91"
152033,Lightning Charging Cable,1,14.95,02/16/19 11:52,"462 Hickey Road St, Wexford City, WEX Y35"
152034,20in Monitor,1,109.99,02/09/19 20:35,"43 Forest St, Dunboyne, MEA A86"
152035,Sony WH-1000X M3 Headphones,1,300,02/10/19 19:18,"347 Essex Street St, Dunboyne, MEA A86"
152036,27in 4K Gaming Monitor,1,389.99,02/16/19 20:26,"272 Lake St, Dublin City, DUB D01"
152037,Sony WH-1000X M3 Headphones,1,300,02/19/19 07:35,"356 13th St, Dunboyne, MEA A86"
152038,AA Batteries (4-pack),1,3.84,02/05/19 00:33,"46 Chestnut Grove St, Dublin City, DUB D01"
152039,Lightning Charging Cable,1,14.95,02/20/19 14:30,"27 South Street St, Cork City, COR T12"
152040,Lightning Charging Cable,1,14.95,02/03/19 06:54,"477 Lincoln St, Galway City, GAL H91"
152041,USB-C Charging Cable,1,11.95,02/04/19 21:20,"258 Spruce St, Dublin City, DUB D01"
152042,34in Ultrawide Monitor,1,379.99,02/24/19 01:33,"453 Main St, Cork City, COR T12"
152043,USB-C Charging Cable,1,11.95,02/16/19 18:21,"151 Exchange Street St, Kilkenny Town, KIL R95"
152044,27in FHD Monitor,1,149.99,02/03/19 08:03,"727 Exchange Street St, Limerick City, LIM V94"
152045,AAA Batteries (4-pack),1,2.99,02/10/19 13:09,"949 Highland Road St, Cork City, COR T12"
152046,Apple Airpods Headphones,1,150,02/10/19 17:38,"762 Crown Alley St, Monaghan Town, MON H18"
152047,34in Ultrawide Monitor,1,379.99,02/07/19 10:43,"927 Abbey Street St, Monaghan Town, MON H18"
152048,USB-C Charging Cable,1,11.95,02/22/19 10:41,"947 Madison St, Cork City, COR T12"
152049,27in FHD Monitor,1,149.99,02/06/19 06:54,"33 13th St, Cork City, COR T12"
152050,Wired Headphones,1,11.99,02/04/19 14:21,"465 Henry Street St, Dunboyne, MEA A86"
152051,AAA Batteries (4-pack),1,2.99,02/24/19 21:33,"103 14th St, Monaghan Town, MON H18"
152052,AAA Batteries (4-pack),1,2.99,02/09/19 04:51,"372 Meadow St, Limerick City, LIM V94"
152053,27in FHD Monitor,1,149.99,02/22/19 18:20,"734 Lakeview St, Galway City, GAL H91"
152054,Apple Airpods Headphones,1,150,02/19/19 23:13,"962 Johnson St, Limerick City, LIM V94"
152055,Wired Headphones,1,11.99,02/10/19 10:16,"350 Lincoln St, Cork City, COR T12"
152056,Lightning Charging Cable,1,14.95,02/26/19 10:11,"97 Spruce St, Galway City, GAL H91"
152057,AA Batteries (4-pack),1,3.84,02/12/19 12:52,"718 Center St, Monaghan Town, MON H18"
152058,Apple Airpods Headphones,1,150,02/14/19 01:41,"691 Bride Street St, Cork City, COR T12"
152059,AAA Batteries (4-pack),1,2.99,02/25/19 02:15,"273 South Street St, Dundalk, LOU A91"
152060,AAA Batteries (4-pack),1,2.99,02/22/19 17:08,"565 West Moreland Street St, Dublin City, DUB D01"
152061,27in 4K Gaming Monitor,1,389.99,02/26/19 17:22,"847 Spruce St, Cork City, COR T12"
152062,Lightning Charging Cable,1,14.95,02/19/19 21:23,"305 Dawson Street St, Dundalk, LOU A91"
152063,Wired Headphones,1,11.99,02/23/19 11:26,"641 Highland Road St, Dunboyne, MEA A86"
152064,AA Batteries (4-pack),1,3.84,02/26/19 20:34,"852 Exchange Street St, Cork City, COR T12"
152065,Dell XPS 13 Laptop,1,1200,02/26/19 00:49,"312 Spruce St, Dunboyne, MEA A86"
152066,Macbook Pro Laptop,1,1700,02/07/19 18:17,"451 Earl Street St, Kilkenny Town, KIL R95"
152067,AAA Batteries (4-pack),1,2.99,02/17/19 00:55,"331 Lake St, Cork City, COR T12"
152068,Wired Headphones,1,11.99,02/01/19 22:31,"705 Hickey Road St, Dunboyne, MEA A86"
152069,USB-C Charging Cable,1,11.95,02/11/19 12:34,"856 Lakeview St, Limerick City, LIM V94"
152070,Lightning Charging Cable,1,14.95,02/25/19 09:31,"232 Church St, Cork City, COR T12"
