Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
141234,Apple Airpods Headphones,1,150,01/02/19 17:43,"726 14th St, Monaghan Town, MON H18"
141235,Lightning Charging Cable,1,14.95,01/08/19 08:49,"226 Henry Street St, Monaghan Town, MON H18"
141236,AA Batteries (4-pack),1,3.84,01/10/19 05:46,"551 Dawson Street St, Monaghan Town, MON H18"
141237,Lightning Charging Cable,1,14.95,01/25/19 17:38,"103 Highland Road St, Dublin City, DUB D01"
141238,AAA Batteries (4-pack),2,2.99,01/11/19 14:01,"656 Main St, Dunboyne, MEA A86"
141239,Sony WH-1000X M3 Headphones,1,300,01/03/19 17:50,"513 Jackson St, Kilkenny Town, KIL R95"
141240,OLED Flatscreen TV,1,3300,01/23/19 15:36,"929 Abbey Street St, Dublin City, DUB D01"
141241,Google Pixel 3,1,550,01/15/19 07:30,"344 Madison St, Cork City, COR T12"
141242,AAA Batteries (4-pack),1,2.99,01/14/19 20:38,"611 Jackson St, Dublin City, DUB D01"
141243,34in Ultrawide Monitor,1,379.99,01/16/19 15:59,"619 Earl Street St, Cork City, COR T12"
141244,Dell XPS 13 Laptop,1,1200,01/06/19 00:04,"345 Sunset St, Dublin City, DUB D01"
141245,27in FHD Monitor,1,149.99,01/12/19 18:35,"39 Fosters Place St, Monaghan Town, MON H18"
141246,Macbook Pro Laptop,1,1700,01/04/19 10:50,"600 Willow Road St, Wexford City, WEX Y35"
141247,Apple Airpods Headphones,1,150,01/31/19 13:41,"916 Dean Street St, Dunboyne, MEA A86"
141248,AA Batteries (4-pack),2,3.84,01/10/19 12:01,"536 Chestnut Grove St, Dunboyne, MEA A86"
141249,Wired Headphones,1,11.99,01/13/19 21:53,"433 Madison St, Dundalk, LOU A91"
141250,AAA Batteries (4-pack),1,2.99,01/28/19 21:48,"909 Fosters Place St, Dunboyne, MEA A86"
141251,Wired Headphones,1,11.99,01/20/19 16:15,"260 Fosters Place St, Cork City, COR T12"
141252,Wired Headphones,1,11.99,01/15/19 15:12,"100 14th St, Dublin City, DUB D01"
141253,Macbook Pro Laptop,1,1700,01/21/19 22:03,"167 13th St, Wexford City, WEX Y35"
141254,Wired Headphones,1,11.99,01/13/19 00:14,"920 Exchange Street St, Galway City, GAL H91"
141255,AAA Batteries (4-pack),2,2.99,01/02/19 14:04,"69 River St, Galway City, GAL H91"
141256,Apple Airpods Headphones,1,150,01/30/19 16:42,"349 Willow Road St, Dunboyne, MEA A86"
141257,USB-C Charging Cable,1,11.95,01/16/19 13:58,"485 Andrews Lane St, Kilkenny Town, KIL R95"
141258,Lightning Charging Cable,1,14.95,01/17/19 09:59,"271 Chestnut Grove St, Dundalk, LOU A91"
141259,OLED Flatscreen TV,1,3300,01/21/19 19:32,"766 Abbey Street St, Limerick City, LIM V94"
141260,Macbook Pro Laptop,1,1700,01/23/19 14:57,"153 Exchange Street St, Dublin City, DUB D01"
141261,Sony WH-1000X M3 Headphones,1,300,01/23/19 08:39,"306 Adams Place St, Dunboyne, MEA A86"
141262,Wired Headphones,1,11.99,01/10/19 06:20,"64 River St, Limerick City, LIM V94"
141263,AA Batteries (4-pack),1,3.84,01/22/19 00:31,"248 14th St, Dunboyne, MEA A86"
141264,Apple Airpods Headphones,1,150,01/12/19 18:16,"536 Lake St, Monaghan Town, MON H18"
141265,Wired Headphones,1,11.99,01/20/19 21:08,"555 Meadow St, Dunboyne, MEA A86"
141266,Sony WH-1000X M3 Headphones,1,300,01/21/19 12:34,"108 Walnut St, Dublin City, DUB D01"
141267,USB-C Charging Cable,1,11.95,01/26/19 18:57,"195 13th St, Dublin City, DUB D01"
141268,AA Batteries (4-pack),1,3.84,01/23/19 20:15,"333 Andrews Lane St, Galway City, GAL H91"
141269,iPhone XS,1,770,01/23/19 22:28,"991 Lincoln St, Dublin City, DUB D01"
141270,USB-C Charging Cable,1,11.95,01/22/19 11:36,"849 Lincoln St, Cork City, COR T12"
141271,Wired Headphones,1,11.99,01/12/19 10:19,"543 Walnut St, Galway City, GAL H91"
141272,34in Ultrawide Monitor,1,379.99,01/10/19 18:38,"732 Meadow St, Dundalk, LOU A91"
141273,Lightning Charging Cable,1,14.95,01/10/19 21:15,"598 Andrews Lane St, Wexford City, WEX Y35"
141274,USB-C Charging Cable,1,11.95,01/06/19 09:51,"48 Crown Alley St, Wexford City, WEX Y35"
141275,USB-C Charging Cable,1,11.95,01/17/19 15:11,"573 Johnson St, Kilkenny Town, KIL R95"
