Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
210003,27in FHD Monitor,1,149.99,07/09/19 10:49,"283 Dean Street St, Limerick City, LIM V94"
210004,AA Batteries (4-pack),2,3.84,07/15/19 14:21,"481 Crown Alley St, Dundalk, LOU A91"
210005,Lightning Charging Cable,2,14.95,07/04/19 11:40,"810 Sunset St, Dundalk, LOU A91"
210006,Lightning Charging Cable,1,14.95,07/06/19 09:47,"804 Fosters Place St, Kilkenny Town, KIL R95"
210007,AA Batteries (4-pack),2,3.84,07/19/19 14:19,"843 Henry Street St, Dublin City, DUB D01"
210008,AA Batteries (4-pack),1,3.84,07/23/19 13:35,"720 Walnut St, Monaghan Town, MON H18"
210009,AA Batteries (4-pack),1,3.84,07/01/19 11:54,"507 Dean Street St, Dundalk, LOU A91"
210010,Lightning Charging Cable,1,14.95,07/25/19 11:02,"348 Hill St, Dublin City, DUB D01"
210011,Lightning Charging Cable,1,14.95,07/02/19 10:49,"868 Wilson St, Cork City, COR T12"
210012,iPhone XS,1,770.0,07/19/19 13:34,"898 Main St, Dublin City, DUB D01"
210012,Lightning Charging Cable,1,14.95,07/19/19 13:34,"898 Main St, Dublin City, DUB D01"
210013,Apple Airpods Headphones,1,150.0,07/06/19 09:06,"944 Hickey Road St, Dublin City, DUB D01"
210014,AA Batteries (4-pack),2,3.84,07/20/19 18:55,"336 Center St, Dunboyne, MEA A86"
210015,Apple Airpods Headphones,1,150.0,07/11/19 01:12,"563 Center St, Limerick City, LIM V94"
210016,Samsung Galaxy S10,1,779.0,07/29/19 18:25,"4 Highland Road St, Dublin City, DUB D01"
210017,AAA Batteries (4-pack),1,2.99,07/15/19 11:53,"985 Dean Street St, Wexford City, WEX Y35"
210018,AA Batteries (4-pack),1,3.84,07/12/19 10:56,"754 Fosters Place St, Cork City, COR T12"
210019,Macbook Pro Laptop,1,1700.0,07/07/19 10:38,"117 Henry Street St, Dublin City, DUB D01"
210020,Lightning Charging Cable,1,14.95,07/22/19 04:18,"479 Essex Street St, Limerick City, LIM V94"
210021,USB-C Charging Cable,1,11.95,07/19/19 09:12,"2 Dorset Street St, Dublin City, DUB D01"
210022,Lightning Charging Cable,1,14.95,07/18/19 07:50,"777 Dawson Street St, Kilkenny Town, KIL R95"
210023,Sony WH-1000X M3 Headphones,1,300.0,07/14/19 00:28,"252 West Moreland Street St, Cork City, COR T12"
210024,AAA Batteries (4-pack),1,2.99,07/21/19 23:43,"119 River St, Monaghan Town, MON H18"
210025,AAA Batteries (4-pack),1,2.99,07/01/19 22:32,"507 Highland Road St, Cork City, COR T12"
210026,Samsung Galaxy S10,1,779.0,07/17/19 13:54,"655 Henry Street St, Dundalk, LOU A91"
210027,USB-C Charging Cable,1,11.95,07/26/19 20:27,"499 Main St, Galway City, GAL H91"
210028,LG Washing Machine,1,600.0,07/09/19 14:44,"760 Fownes Street St, Dunboyne, MEA A86"
210029,34in Ultrawide Monitor,1,379.99,07/08/19 20:46,"340 Crane Lane St, Dunboyne, MEA A86"
210030,27in 4K Gaming Monitor,1,389.99,07/27/19 08:33,"651 Abbey Street St, Cork City, COR T12"
210031,Wired Headphones,1,11.99,07/01/19 10:30,"342 Adams Place St, Dublin City, DUB D01"
210032,AAA Batteries (4-pack),1,2.99,07/12/19 15:57,"878 River St, Wexford City, WEX Y35"
210033,AAA Batteries (4-pack),1,2.99,07/01/19 12:25,"85 Forest St, Cork City, COR T12"
210034,27in FHD Monitor,1,149.99,07/10/19 04:29,"569 Fosters Place St, Dublin City, DUB D01"
210035,USB-C Charging Cable,1,11.95,07/01/19 12:24,"490 Hill St, Kilkenny Town, KIL R95"
