Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
195639,AAA Batteries (4-pack),2,2.99,06/28/19 09:16,"962 13th St, Dundalk, LOU A91"
195640,34in Ultrawide Monitor,1,379.99,06/05/19 15:59,"82 Pine St, Dublin City, DUB D01"
195641,Lightning Charging Cable,1,14.95,06/11/19 21:13,"553 North Strand St, Dublin City, DUB D01"
195642,AAA Batteries (4-pack),1,2.99,06/25/19 19:58,"877 Crane Lane St, Dunboyne, MEA A86"
195643,Wired Headphones,1,11.99,06/17/19 15:18,"220 Abbey Street St, Limerick City, LIM V94"
195644,Apple Airpods Headphones,1,150.0,06/13/19 12:42,"399 Abbey Street St, Dundalk, LOU A91"
195645,USB-C Charging Cable,1,11.95,06/16/19 10:05,"794 Adams Place St, Wexford City, WEX Y35"
195646,Samsung Galaxy S10,1,779.0,06/12/19 18:57,"304 North Strand St, Dublin City, DUB D01"
195646,USB-C Charging Cable,1,11.95,06/12/19 18:57,"304 North Strand St, Dublin City, DUB D01"
195647,AA Batteries (4-pack),1,3.84,06/26/19 17:45,"309 North Strand St, Limerick City, LIM V94"
195648,iPhone XS,1,770.0,06/16/19 15:44,"485 Center St, Galway City, GAL H91"
195648,Lightning Charging Cable,1,14.95,06/16/19 15:44,"485 Center St, Galway City, GAL H91"
195648,AA Batteries (4-pack),1,3.84,06/16/19 15:44,"485 Center St, Galway City, GAL H91"
195649,Wired Headphones,1,11.99,06/17/19 17:51,"934 Chestnut Grove St, Cork City, COR T12"
195650,Google Pixel 3,1,550.0,06/10/19 22:37,"69 Highland Road St, Dunboyne, MEA A86"
195651,Apple Airpods Headphones,1,150.0,06/21/19 13:33,"299 Fownes Street St, Cork City, COR T12"
195652,Macbook Pro Laptop,1,1700.0,06/25/19 16:05,"164 14th St, Cork City, COR T12"
195653,34in Ultrawide Monitor,1,379.99,06/11/19 12:03,"554 Jackson St, Dunboyne, MEA A86"
195654,Wired Headphones,1,11.99,06/04/19 00:52,"876 Wilson St, Kilkenny Town, KIL R95"
195655,USB-C Charging Cable,1,11.95,06/30/19 19:19,"660 Lakeview St, Dunboyne, MEA A86"
195656,Lightning Charging Cable,1,14.95,06/08/19 18:00,"783 Cherry Orchid St, Monaghan Town, MON H18"
195657,Lightning Charging Cable,1,14.95,06/14/19 13:36,"409 13th St, Dunboyne, MEA A86"
195658,AA Batteries (4-pack),1,3.84,06/06/19 01:31,"785 Wilson St, Dublin City, DUB D01"
195659,OLED Flatscreen TV,1,3300.0,06/30/19 12:52,"795 Dawson Street St, Galway City, GAL H91"
195660,Samsung Galaxy S10,1,779.0,06/28/19 02:50,"35 Andrews Lane St, Wexford City, WEX Y35"
195660,USB-C Charging Cable,1,11.95,06/28/19 02:50,"35 Andrews Lane St, Wexford City, WEX Y35"
195661,AAA Batteries (4-pack),1,2.99,06/18/19 12:53,"914 Center St, Limerick City, LIM V94"
195662,20in Monitor,1,109.99,06/14/19 21:07,"790 Andrews Lane St, Dunboyne, MEA A86"
195663,USB-C Charging Cable,1,11.95,06/15/19 18:55,"155 Dorset Street St, Dunboyne, MEA A86"
195664,Wired Headphones,1,11.99,06/19/19 21:59,"296 Jackson St, Dublin City, DUB D01"
195665,27in FHD Monitor,1,149.99,06/05/19 17:06,"557 Adams Place St, Dunboyne, MEA A86"
195666,Lightning Charging Cable,1,14.95,06/11/19 10:26,"398 Madison St, Dublin City, DUB D01"
195667,Lightning Charging Cable,1,14.95,06/13/19 19:07,"369 Sunset St, Dublin City, DUB D01"
195668,Apple Airpods Headphones,1,150.0,06/08/19 19:06,"567 Andrews Lane St, Galway City, GAL H91"
195669,20in Monitor,1,109.99,06/20/19 12:53,"678 Ridge St, Cork City, COR T12"
195670,Apple Airpods Headphones,1,150.0,06/15/19 09:50,"937 Willow Road St, Kilkenny Town, KIL R95"
