Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
154302,USB-C Charging Cable,1,11.95,03/25/19 19:58,"237 Hickey Road St, Galway City, GAL H91"
154303,Apple Airpods Headphones,1,150.0,03/17/19 19:33,"960 Johnson St, Dunboyne, MEA A86"
154304,LG Washing Machine,1,600.0,03/16/19 21:24,"646 Wilson St, Dublin City, DUB D01"
154305,Lightning Charging Cable,1,14.95,03/21/19 16:19,"599 River St, Dublin City, DUB D01"
154306,Lightning Charging Cable,1,14.95,03/12/19 12:44,"866 Grand Canal Way St, Cork City, COR T12"
154307,20in Monitor,1,109.99,03/06/19 11:41,"338 Adams Place St, Dunboyne, MEA A86"
154308,Sony WH-1000X M3 Headphones,1,300.0,03/08/19 12:43,"936 Hill St, Dunboyne, MEA A86"
154309,USB-C Charging Cable,1,11.95,03/09/19 16:36,"913 Lincoln St, Galway City, GAL H91"
154310,USB-C Charging Cable,1,11.95,03/17/19 16:18,"190 Highland Road St, Monaghan Town, MON H18"
154311,Wired Headphones,1,11.99,03/06/19 15:02,"833 Fosters Place St, Dunboyne, MEA A86"
154312,AAA Batteries (4-pack),1,2.99,03/01/19 21:14,"762 Bride Street St, Monaghan Town, MON H18"
154313,34in Ultrawide Monitor,1,379.99,03/30/19 20:28,"878 Lakeview St, Dublin City, DUB D01"
154314,AAA Batteries (4-pack),1,2.99,03/24/19 17:58,"820 Chestnut Grove St, Dunboyne, MEA A86"
154315,AA Batteries (4-pack),1,3.84,03/16/19 08:47,"136 Adams Place St, Cork City, COR T12"
154316,Lightning Charging Cable,1,14.95,03/12/19 09:04,"96 Center St, Dublin City, DUB D01"
154317,Lightning Charging Cable,1,14.95,03/19/19 21:52,"695 Johnson St, Cork City, COR T12"
154318,27in 4K Gaming Monitor,1,389.99,03/15/19 16:36,"341 Willow Road St, Dunboyne, MEA A86"
154319,Apple Airpods Headphones,1,150.0,03/29/19 08:22,"558 Gardiner Street St, Dublin City, DUB D01"
154320,Apple Airpods Headphones,1,150.0,03/18/19 14:14,"410 Lincoln St, Dunboyne, MEA A86"
154321,Macbook Pro Laptop,1,1700.0,03/02/19 13:25,"689 Highland Road St, Dublin City, DUB D01"
154322,USB-C Charging Cable,1,11.95,03/23/19 08:39,"463 River St, Cork City, COR T12"
154323,AA Batteries (4-pack),1,3.84,03/27/19 14:17,"584 Wilson St, Dublin City, DUB D01"
154323,Wired Headphones,1,11.99,03/27/19 14:17,"584 Wilson St, Dublin City, DUB D01"
154324,Apple Airpods Headphones,1,150.0,03/05/19 23:14,"697 Lincoln St, Dunboyne, MEA A86"
154325,AAA Batteries (4-pack),4,2.99,03/25/19 00:21,"697 Pine St, Dundalk, LOU A91"
154326,AA Batteries (4-pack),1,3.84,03/21/19 16:08,"130 13th St, Cork City, COR T12"
154327,AAA Batteries (4-pack),1,2.99,03/22/19 21:55,"353 Hickey Road St, Wexford City, WEX Y35"
154328,AAA Batteries (4-pack),1,2.99,03/11/19 10:54,"819 Fownes Street St, Kilkenny Town, KIL R95"
