Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
176985,Sony WH-1000X M3 Headphones,1,300,05/03/19 20:48,"212 Bride Street St, Dublin City, DUB D01"
176986,USB-C Charging Cable,1,11.95,05/20/19 17:19,"179 Lakeview St, Dublin City, DUB D01"
176987,Wired Headphones,1,11.99,05/25/19 16:27,"596 Fownes Street St, Dublin City, DUB D01"
176988,USB-C Charging Cable,1,11.95,05/08/19 12:11,"584 Earl Street St, Cork City, COR T12"
176989,Apple Airpods Headphones,1,150,05/11/19 07:08,"784 Madison St, Limerick City, LIM V94"
176990,Apple Airpods Headphones,1,150,05/15/19 17:55,"144 Sunset St, Dunboyne, MEA A86"
176991,Sony WH-1000X M3 Headphones,1,300,05/27/19 21:18,"28 Grand Canal Way St, Cork City, COR T12"
176992,iPhone XS,1,770,05/15/19 14:32,"231 Center St, Kilkenny Town, KIL R95"
176992,Lightning Charging Cable,2,14.95,05/15/19 14:32,"231 Center St, Kilkenny Town, KIL R95"
176993,Wired Headphones,1,11.99,05/14/19 17:38,"460 Grand Canal Way St, Dunboyne, MEA A86"
176994,Wired Headphones,1,11.99,05/12/19 12:32,"707 Center St, Dunboyne, MEA A86"
176995,iPhone XS,1,770,05/24/19 16:14,"912 Ridge St, Dunboyne, MEA A86"
176996,AA Batteries (4-pack),1,3.84,05/05/19 18:05,"214 Crane Lane St, Limerick City, LIM V94"
176997,Dell XPS 13 Laptop,1,1200,05/23/19 12:32,"539 Adams Place St, Dunboyne, MEA A86"
176998,Wired Headphones,1,11.99,05/05/19 22:39,"774 Main St, Cork City, COR T12"
176999,Lightning Charging Cable,1,14.95,05/30/19 14:41,"603 Bride Street St, Cork City, COR T12"
177000,Macbook Pro Laptop,1,1700,05/14/19 08:22,"543 Meadow St, Limerick City, LIM V94"
177001,USB-C Charging Cable,1,11.95,05/15/19 12:42,"908 Grand Canal Way St, Kilkenny Town, KIL R95"
177002,20in Monitor,1,109.99,05/30/19 23:56,"632 River St, Cork City, COR T12"
177003,Wired Headphones,1,11.99,05/26/19 11:00,"882 Hill St, Dublin City, DUB D01"
177004,Lightning Charging Cable,2,14.95,05/22/19 19:14,"85 Forest St, Cork City, COR T12"
177005,AAA Batteries (4-pack),2,2.99,05/26/19 10:03,"390 Chestnut Grove St, Dublin City, DUB D01"
177006,USB-C Charging Cable,2,11.95,05/13/19 10:18,"791 Madison St, Dunboyne, MEA A86"
177007,Lightning Charging Cable,1,14.95,05/26/19 13:34,"388 Adams Place St, Cork City, COR T12"
177008,Wired Headphones,1,11.99,05/10/19 18:20,"486 Hickey Road St, Dunboyne, MEA A86"
177009,Samsung Galaxy S10,1,779,05/24/19 16:48,"508 Wilson St, Dublin City, DUB D01"
177010,AA Batteries (4-pack),3,3.84,05/02/19 19:14,"423 Main St, Limerick City, LIM V94"
177011,Google Pixel 3,1,550,05/15/19 21:06,"793 River St, Monaghan Town, MON H18"
177012,Apple Airpods Headphones,1,150,05/11/19 22:06,"297 Gardiner Street St, Dunboyne, MEA A86"
177013,Apple Airpods Headphones,1,150,05/18/19 16:56,"431 Lake St, Cork City, COR T12"
177014,AA Batteries (4-pack),1,3.84,05/10/19 23:44,"444 Forest St, Dublin City, DUB D01"
177015,USB-C Charging Cable,1,11.95,05/23/19 14:34,"392 River St, Dundalk, LOU A91"
177016,20in Monitor,1,109.99,05/24/19 07:40,"906 Adams Place St, Cork City, COR T12"
