Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
257037,USB-C Charging Cable,1,11.95,11/21/19 20:58,"314 Sunset St, Dunboyne, MEA A86"
257038,AAA Batteries (4-pack),5,2.99,11/13/19 12:50,"60 Johnson St, Dublin City, DUB D01"
257039,USB-C Charging Cable,2,11.95,11/13/19 11:25,"544 Dorset Street St, Dublin City, DUB D01"
257040,Wired Headphones,1,11.99,11/18/19 14:25,"53 Center St, Wexford City, WEX Y35"
257041,AAA Batteries (4-pack),1,2.99,11/24/19 20:08,"178 Earl Street St, Galway City, GAL H91"
257042,AAA Batteries (4-pack),2,2.99,11/27/19 20:40,"213 Center St, Dublin City, DUB D01"
257043,Lightning Charging Cable,1,14.95,11/24/19 09:36,"254 Sunset St, Dublin City, DUB D01"
257044,20in Monitor,1,109.99,11/12/19 08:14,"443 River St, Dunboyne, MEA A86"
257045,AA Batteries (4-pack),1,3.84,11/22/19 10:30,"980 Abbey Street St, Kilkenny Town, KIL R95"
257046,USB-C Charging Cable,1,11.95,11/14/19 20:34,"960 North Strand St, Dunboyne, MEA A86"
257047,AAA Batteries (4-pack),2,2.99,11/15/19 20:26,"283 Adams Place St, Dunboyne, MEA A86"
257048,Wired Headphones,1,11.99,11/12/19 11:12,"113 13th St, Dunboyne, MEA A86"
257049,Samsung Galaxy S10,1,779.0,11/27/19 23:19,"818 Lake St, Dundalk, LOU A91"
257049,USB-C Charging Cable,1,11.95,11/27/19 23:19,"818 Lake St, Dundalk, LOU A91"
257050,iPhone XS,1,770.0,11/11/19 18:43,"986 Center St, Dunboyne, MEA A86"
257050,Lightning Charging Cable,1,14.95,11/11/19 18:43,"986 Center St, Dunboyne, MEA A86"
257050,USB-C Charging Cable,1,11.95,11/11/19 18:43,"986 Center St, Dunboyne, MEA A86"
257051,AA Batteries (4-pack),2,3.84,11/23/19 18:13,"305 Crown Alley St, Monaghan Town, MON H18"
257052,34in Ultrawide Monitor,1,379.99,11/29/19 20:45,"688 Madison St, Galway City, GAL H91"
257053,USB-C Charging Cable,1,11.95,11/27/19 09:09,"750 Fosters Place St, Cork City, COR T12"
257054,USB-C Charging Cable,1,11.95,11/04/19 09:44,"154 Lakeview St, Dunboyne, MEA A86"
257055,USB-C Charging Cable,1,11.95,11/18/19 01:16,"113 Earl Street St, Dundalk, LOU A91"
257056,AA Batteries (4-pack),1,3.84,11/24/19 22:04,"78 Wilson St, Dublin City, DUB D01"
257057,Dell XPS 13 Laptop,1,1200.0,11/02/19 09:46,"119 Madison St, Dunboyne, MEA A86"
257058,Lightning Charging Cable,1,14.95,11/12/19 14:13,"96 Gardiner Street St, Wexford City, WEX Y35"
257059,USB-C Charging Cable,1,11.95,11/25/19 00:09,"573 Forest St, Kilkenny Town, KIL R95"
257060,Lightning Charging Cable,1,14.95,11/12/19 20:55,"741 Hill St, Dublin City, DUB D01"
257061,Apple Airpods Headphones,1,150.0,11/27/19 20:03,"926 Fownes Street St, Dunboyne, MEA A86"
257062,27in FHD Monitor,1,149.99,11/04/19 22:34,"894 Walnut St, Galway City, GAL H91"
257063,Lightning Charging Cable,1,14.95,11/19/19 17:07,"431 Exchange Street St, Wexford City, WEX Y35"
257064,Apple Airpods Headphones,1,150.0,11/23/19 11:48,"255 Fownes Street St, Cork City, COR T12"
257065,AAA Batteries (4-pack),1,2.99,11/23/19 18:06,"574 Chestnut Grove St, Dundalk, LOU A91"
257066,AAA Batteries (4-pack),1,2.99,11/27/19 16:57,"754 Fownes Street St, Galway City, GAL H91"
257067,Google Pixel 3,1,550.0,11/16/19 19:03,"602 Church St, Dublin City, DUB D01"
257068,Lightning Charging Cable,1,14.95,11/27/19 20:17,"717 Walnut St, Dublin City, DUB D01"
257069,AA Batteries (4-pack),1,3.84,11/20/19 11:31,"153 Center St, Cork City, COR T12"
257070,AAA Batteries (4-pack),1,2.99,11/09/19 14:20,"411 Chestnut Grove St, Cork City, COR T12"
257071,Apple Airpods Headphones,2,150.0,11/18/19 20:21,"296 Highland Road St, Cork City, COR T12"
257072,34in Ultrawide Monitor,1,379.99,11/28/19 12:59,"961 South Street St, Galway City, GAL H91"
257073,Apple Airpods Headphones,1,150.0,11/28/19 19:14,"887 Meadow St, Cork City, COR T12"
257074,20in Monitor,1,109.99,11/02/19 19:07,"433 Earl Street St, Dublin City, DUB D01"
257075,USB-C Charging Cable,1,11.95,11/08/19 08:31,"172 Hill St, Monaghan Town, MON H18"
257076,USB-C Charging Cable,1,11.95,11/29/19 11:25,"806 North Strand St, Dublin City, DUB D01"
257077,Samsung Galaxy S10,1,779.0,11/15/19 19:04,"47 Center St, Dublin City, DUB D01"
257078,AAA Batteries (4-pack),1,2.99,11/16/19 21:28,"293 Fownes Street St, Galway City, GAL H91"
257079,AAA Batteries (4-pack),1,2.99,11/06/19 23:01,"166 Center St, Dunboyne, MEA A86"
257080,27in 4K Gaming Monitor,1,389.99,11/04/19 14:17,"631 Dean Street St, Dublin City, DUB D01"
257081,Wired Headphones,1,11.99,11/23/19 23:53,"858 Main St, Dunboyne, MEA A86"
257082,USB-C Charging Cable,1,11.95,11/18/19 13:23,"236 Bride Street St, Galway City, GAL H91"
257083,USB-C Charging Cable,2,11.95,11/29/19 06:04,"45 Jackson St, Cork City, COR T12"
257084,LG Dryer,1,600.0,11/09/19 23:02,"667 Crane Lane St, Monaghan Town, MON H18"
257085,Wired Headphones,1,11.99,11/15/19 09:35,"467 Main St, Dunboyne, MEA A86"
257086,Sony WH-1000X M3 Headphones,1,300.0,11/20/19 18:27,"868 Cherry Orchid St, Dunboyne, MEA A86"
257087,AAA Batteries (4-pack),1,2.99,11/28/19 07:29,"200 Gardiner Street St, Cork City, COR T12"
257088,AAA Batteries (4-pack),1,2.99,11/13/19 18:57,"241 Cherry Orchid St, Monaghan Town, MON H18"
257089,Apple Airpods Headphones,1,150.0,11/01/19 18:50,"801 Dawson Street St, Dublin City, DUB D01"
257090,Lightning Charging Cable,1,14.95,11/11/19 18:00,"331 Walnut St, Cork City, COR T12"
257091,AA Batteries (4-pack),1,3.84,11/21/19 18:14,"996 Forest St, Dublin City, DUB D01"
257092,AA Batteries (4-pack),3,3.84,11/08/19 21:02,"479 Lincoln St, Dunboyne, MEA A86"
257093,Lightning Charging Cable,1,14.95,11/16/19 03:09,"283 Cherry Orchid St, Kilkenny Town, KIL R95"
257094,AA Batteries (4-pack),1,3.84,11/12/19 13:50,"665 Gardiner Street St, Dublin City, DUB D01"
257095,AA Batteries (4-pack),1,3.84,11/23/19 20:23,"709 West Moreland Street St, Kilkenny Town, KIL R95"
257096,Google Pixel 3,1,550.0,11/03/19 10:13,"973 Sunset St, Dunboyne, MEA A86"
257096,USB-C Charging Cable,1,11.95,11/03/19 10:13,"973 Sunset St, Dunboyne, MEA A86"
257097,USB-C Charging Cable,1,11.95,11/25/19 12:38,"294 Jackson St, Dunboyne, MEA A86"
257098,Lightning Charging Cable,1,14.95,11/01/19 20:33,"354 Henry Street St, Dundalk, LOU A91"
257099,AAA Batteries (4-pack),2,2.99,11/02/19 19:39,"923 Meadow St, Dublin City, DUB D01"
257100,AA Batteries (4-pack),2,3.84,11/06/19 18:18,"740 Adams Place St, Dundalk, LOU A91"
257101,Lightning Charging Cable,1,14.95,11/01/19 13:20,"676 Exchange Street St, Dublin City, DUB D01"
257102,Sony WH-1000X M3 Headphones,1,300.0,11/09/19 18:10,"980 Crane Lane St, Monaghan Town, MON H18"
257103,AA Batteries (4-pack),1,3.84,11/20/19 21:03,"816 Sunset St, Drogheda, LOU A92"
