Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
244914,USB-C Charging Cable,1,11.95,10/29/19 14:47,"91 Abbey Street St, Dublin City, DUB D01"
244915,AA Batteries (4-pack),1,3.84,10/29/19 14:27,"166 Dean Street St, Dunboyne, MEA A86"
244916,27in 4K Gaming Monitor,1,389.99,10/14/19 20:56,"680 Hickey Road St, Drogheda, LOU A92"
244917,Wired Headphones,1,11.99,10/10/19 23:59,"888 Pine St, Dunboyne, MEA A86"
244918,AAA Batteries (4-pack),4,2.99,10/15/19 19:32,"881 Dorset Street St, Galway City, GAL H91"
244919,AA Batteries (4-pack),1,3.84,10/13/19 08:58,"766 Adams Place St, Monaghan Town, MON H18"
244920,Lightning Charging Cable,1,14.95,10/29/19 17:00,"849 Exchange Street St, Limerick City, LIM V94"
244921,27in FHD Monitor,1,149.99,10/19/19 20:52,"872 Hickey Road St, Galway City, GAL H91"
244922,Wired Headphones,1,11.99,10/27/19 14:02,"117 Grand Canal Way St, Monaghan Town, MON H18"
244923,Google Pixel 3,1,550.0,10/03/19 16:33,"832 Willow Road St, Galway City, GAL H91"
244924,USB-C Charging Cable,1,11.95,10/20/19 19:17,"525 Lakeview St, Wexford City, WEX Y35"
244925,27in FHD Monitor,1,149.99,10/12/19 11:54,"730 Madison St, Dunboyne, MEA A86"
244926,USB-C Charging Cable,1,11.95,10/07/19 23:17,"354 Church St, Galway City, GAL H91"
244927,AAA Batteries (4-pack),2,2.99,10/11/19 19:29,"89 Johnson St, Kilkenny Town, KIL R95"
244928,Apple Airpods Headphones,1,150.0,10/01/19 11:34,"425 Sunset St, Monaghan Town, MON H18"
244929,AA Batteries (4-pack),1,3.84,10/17/19 13:17,"958 Exchange Street St, Galway City, GAL H91"
244930,USB-C Charging Cable,1,11.95,10/23/19 21:40,"733 Forest St, Dunboyne, MEA A86"
244931,Wired Headphones,1,11.99,10/10/19 21:12,"697 Johnson St, Limerick City, LIM V94"
244932,Wired Headphones,1,11.99,10/18/19 12:36,"468 Meadow St, Dublin City, DUB D01"
244933,Lightning Charging Cable,1,14.95,10/26/19 17:00,"281 Dawson Street St, Monaghan Town, MON H18"
244934,OLED Flatscreen TV,1,3300.0,10/14/19 14:11,"277 Lincoln St, Dundalk, LOU A91"
244934,USB-C Charging Cable,1,11.95,10/14/19 14:11,"277 Lincoln St, Dundalk, LOU A91"
244935,Samsung Galaxy S10,1,779.0,10/21/19 09:50,"155 Ridge St, Dublin City, DUB D01"
244936,iPhone XS,1,770.0,10/11/19 12:46,"746 Hill St, Dunboyne, MEA A86"
244937,27in 4K Gaming Monitor,1,389.99,10/04/19 13:05,"5 14th St, Cork City, COR T12"
244938,Apple Airpods Headphones,1,150.0,10/24/19 23:52,"789 West Moreland Street St, Kilkenny Town, KIL R95"
244939,USB-C Charging Cable,1,11.95,10/22/19 07:34,"544 North Strand St, Wexford City, WEX Y35"
244940,27in FHD Monitor,1,149.99,10/19/19 19:16,"567 Ridge St, Dublin City, DUB D01"
244941,Apple Airpods Headphones,1,150.0,10/14/19 10:09,"927 Exchange Street St, Limerick City, LIM V94"
244942,Sony WH-1000X M3 Headphones,1,300.0,10/28/19 17:35,"536 Lake St, Galway City, GAL H91"
244943,LG Washing Machine,1,600.0,10/03/19 20:11,"796 Abbey Street St, Dublin City, DUB D01"
244944,20in Monitor,1,109.99,10/27/19 19:48,"48 Abbey Street St, Dublin City, DUB D01"
244945,Lightning Charging Cable,1,14.95,10/31/19 20:14,"889 Jackson St, Dundalk, LOU A91"
244946,Wired Headphones,1,11.99,10/06/19 17:33,"636 North Strand St, Dublin City, DUB D01"
244947,Apple Airpods Headphones,1,150.0,10/23/19 00:37,"402 Andrews Lane St, Dunboyne, MEA A86"
244948,AAA Batteries (4-pack),1,2.99,10/18/19 15:56,"457 Dean Street St, Monaghan Town, MON H18"
244949,27in 4K Gaming Monitor,1,389.99,10/27/19 20:10,"930 Walnut St, Wexford City, WEX Y35"
244950,Sony WH-1000X M3 Headphones,1,300.0,10/13/19 11:53,"40 Bride Street St, Dunboyne, MEA A86"
244951,Macbook Pro Laptop,1,1700.0,10/27/19 20:46,"979 Jackson St, Dundalk, LOU A91"
244952,AAA Batteries (4-pack),1,2.99,10/06/19 02:24,"919 Walnut St, Dunboyne, MEA A86"
244953,Google Pixel 3,1,550.0,10/29/19 13:24,"33 Dean Street St, Dublin City, DUB D01"
244954,USB-C Charging Cable,1,11.95,10/04/19 21:54,"21 Hill St, Wexford City, WEX Y35"
244955,34in Ultrawide Monitor,1,379.99,10/09/19 11:15,"146 Jackson St, Galway City, GAL H91"
244956,Google Pixel 3,1,550.0,10/19/19 13:59,"555 Crane Lane St, Kilkenny Town, KIL R95"
244957,AA Batteries (4-pack),2,3.84,10/23/19 17:07,"263 Hickey Road St, Dublin City, DUB D01"
244958,Wired Headphones,1,11.99,10/31/19 08:43,"426 Dean Street St, Dublin City, DUB D01"
244959,Lightning Charging Cable,1,14.95,10/01/19 11:28,"514 Exchange Street St, Monaghan Town, MON H18"
244960,Macbook Pro Laptop,1,1700.0,10/05/19 19:40,"579 Lakeview St, Dublin City, DUB D01"
244961,AA Batteries (4-pack),1,3.84,10/10/19 20:04,"264 Madison St, Dublin City, DUB D01"
244962,iPhone XS,1,770.0,10/23/19 19:47,"38 Henry Street St, Cork City, COR T12"
244963,AAA Batteries (4-pack),1,2.99,10/22/19 13:09,"806 Gardiner Street St, Dublin City, DUB D01"
244964,AA Batteries (4-pack),2,3.84,10/15/19 21:26,"596 Fosters Place St, Cork City, COR T12"
244965,USB-C Charging Cable,1,11.95,10/11/19 14:24,"953 13th St, Dunboyne, MEA A86"
244966,Wired Headphones,1,11.99,10/06/19 08:08,"251 Jackson St, Limerick City, LIM V94"
244967,Sony WH-1000X M3 Headphones,1,300.0,10/31/19 17:27,"96 Bride Street St, Dunboyne, MEA A86"
244968,Wired Headphones,1,11.99,10/05/19 11:42,"180 Crown Alley St, Dublin City, DUB D01"
244969,USB-C Charging Cable,1,11.95,10/27/19 07:50,"886 Dean Street St, Dunboyne, MEA A86"
244970,Apple Airpods Headphones,1,150.0,10/16/19 12:21,"979 Jefferson Street St, Dublin City, DUB D01"
244971,Apple Airpods Headphones,1,150.0,10/09/19 16:18,"124 Gardiner Street St, Dunboyne, MEA A86"
244972,Wired Headphones,1,11.99,10/25/19 17:42,"772 Main St, Cork City, COR T12"
244973,USB-C Charging Cable,1,11.95,10/18/19 13:33,"761 Pine St, Monaghan Town, MON H18"
244974,AA Batteries (4-pack),1,3.84,10/11/19 19:09,"24 Dorset Street St, Dunboyne, MEA A86"
244975,20in Monitor,1,109.99,10/24/19 22:54,"116 Madison St, Dublin City, DUB D01"
244976,USB-C Charging Cable,1,11.95,10/12/19 05:52,"563 West Moreland Street St, Limerick City, LIM V94"
244977,20in Monitor,1,109.99,10/01/19 19:11,"330 Gardiner Street St, Dublin City, DUB D01"
244978,Apple Airpods Headphones,1,150.0,10/03/19 22:56,"753 Willow Road St, Dunboyne, MEA A86"
244979,Lightning Charging Cable,1,14.95,10/22/19 19:47,"376 Main St, Dublin City, DUB D01"
244980,AA Batteries (4-pack),4,3.84,10/19/19 00:35,"751 Chestnut Grove St, Monaghan Town, MON H18"
244981,AA Batteries (4-pack),1,3.84,10/03/19 13:13,"850 Hickey Road St, Dunboyne, MEA A86"
244981,LG Dryer,1,600.0,10/03/19 13:13,"850 Hickey Road St, Dunboyne, MEA A86"
244982,20in Monitor,1,109.99,10/21/19 00:15,"378 14th St, Cork City, COR T12"
244983,OLED Flatscreen TV,1,3300.0,10/12/19 09:11,"612 Jackson St, Dublin City, DUB D01"
244984,AA Batteries (4-pack),2,3.84,10/12/19 11:33,"585 Cherry Orchid St, Limerick City, LIM V94"
244985,USB-C Charging Cable,1,11.95,10/14/19 16:46,"427 Center St, Dublin City, DUB D01"
244986,Lightning Charging Cable,1,14.95,10/17/19 16:57,"710 Crown Alley St, Galway City, GAL H91"
244987,AA Batteries (4-pack),1,3.84,10/17/19 19:16,"764 Pine St, Limerick City, LIM V94"
244988,Apple Airpods Headphones,1,150.0,10/26/19 17:07,"919 Lincoln St, Limerick City, LIM V94"
244989,USB-C Charging Cable,1,11.95,10/11/19 14:29,"541 River St, Dublin City, DUB D01"
244990,Apple Airpods Headphones,1,150.0,10/19/19 12:52,"794 Crane Lane St, Dublin City, DUB D01"
244991,Wired Headphones,1,11.99,10/22/19 17:50,"613 Willow Road St, Dundalk, LOU A91"
244992,USB-C Charging Cable,1,11.95,10/15/19 23:09,"194 Fownes Street St, Cork City, COR T12"
244993,AA Batteries (4-pack),1,3.84,10/09/19 05:50,"87 Wilson St, Monaghan Town, MON H18"
244994,Sony WH-1000X M3 Headphones,1,300.0,10/28/19 12:14,"820 Church St, Monaghan Town, MON H18"
244995,USB-C Charging Cable,1,11.95,10/30/19 14:54,"751 Dorset Street St, Wexford City, WEX Y35"
244996,Apple Airpods Headphones,2,150.0,10/01/19 15:13,"986 South Street St, Monaghan Town, MON H18"
244997,Apple Airpods Headphones,1,150.0,10/08/19 16:13,"926 Highland Road St, Dublin City, DUB D01"
244998,iPhone XS,1,770.0,10/02/19 15:30,"86 Adams Place St, Monaghan Town, MON H18"
244998,Lightning Charging Cable,1,14.95,10/02/19 15:30,"86 Adams Place St, Monaghan Town, MON H18"
244999,Macbook Pro Laptop,1,1700.0,10/09/19 22:01,"988 Grand Canal Way St, Galway City, GAL H91"
245000,27in 4K Gaming Monitor,1,389.99,10/13/19 21:31,"835 Fosters Place St, Dublin City, DUB D01"
245001,OLED Flatscreen TV,1,3300.0,10/16/19 14:17,"51 Jackson St, Galway City, GAL H91"
245002,iPhone XS,1,770.0,10/08/19 05:58,"652 Fosters Place St, Dundalk, LOU A91"
245003,Lightning Charging Cable,1,14.95,10/01/19 19:24,"143 Forest St, Monaghan Town, MON H18"
245004,Google Pixel 3,1,550.0,10/02/19 14:54,"550 Dorset Street St, Cork City, COR T12"
245005,Lightning Charging Cable,1,14.95,10/27/19 14:00,"340 Dean Street St, Cork City, COR T12"
245006,Samsung Galaxy S10,1,779.0,10/27/19 20:27,"288 Willow Road St, Monaghan Town, MON H18"
245006,USB-C Charging Cable,1,11.95,10/27/19 20:27,"288 Willow Road St, Monaghan Town, MON H18"
245007,iPhone XS,1,770.0,10/25/19 17:51,"934 Crown Alley St, Galway City, GAL H91"
245007,Wired Headphones,1,11.99,10/25/19 17:51,"934 Crown Alley St, Galway City, GAL H91"
245008,AA Batteries (4-pack),2,3.84,10/18/19 21:06,"502 14th St, Dunboyne, MEA A86"
245009,Lightning Charging Cable,1,14.95,10/11/19 10:47,"48 Wilson St, Kilkenny Town, KIL R95"
245010,Lightning Charging Cable,1,14.95,10/25/19 09:49,"987 Pine St, Dundalk, LOU A91"
245011,Lightning Charging Cable,1,14.95,10/05/19 17:12,"758 Henry Street St, Dundalk, LOU A91"
245012,Wired Headphones,1,11.99,10/11/19 14:11,"959 Hill St, Monaghan Town, MON H18"
245013,iPhone XS,1,770.0,10/18/19 18:12,"64 Jefferson Street St, Kilkenny Town, KIL R95"
245014,Wired Headphones,1,11.99,10/16/19 23:03,"60 Essex Street St, Dublin City, DUB D01"
245015,AA Batteries (4-pack),2,3.84,10/24/19 15:06,"919 Lakeview St, Monaghan Town, MON H18"
245016,34in Ultrawide Monitor,1,379.99,10/25/19 12:19,"116 River St, Wexford City, WEX Y35"
245017,Lightning Charging Cable,1,14.95,10/18/19 11:46,"355 Walnut St, Cork City, COR T12"
245018,Sony WH-1000X M3 Headphones,1,300.0,10/27/19 19:35,"643 West Moreland Street St, Limerick City, LIM V94"
245019,Samsung Galaxy S10,1,779.0,10/16/19 15:16,"447 Chestnut Grove St, Cork City, COR T12"
245019,USB-C Charging Cable,1,11.95,10/16/19 15:16,"447 Chestnut Grove St, Cork City, COR T12"
245019,Wired Headphones,1,11.99,10/16/19 15:16,"447 Chestnut Grove St, Cork City, COR T12"
245020,USB-C Charging Cable,1,11.95,10/07/19 11:04,"372 Spruce St, Dundalk, LOU A91"
245021,Sony WH-1000X M3 Headphones,1,300.0,10/17/19 17:06,"837 Church St, Dublin City, DUB D01"
245022,20in Monitor,1,109.99,10/17/19 23:48,"195 Walnut St, Dublin City, DUB D01"
245023,20in Monitor,1,109.99,10/24/19 16:01,"439 Henry Street St, Dublin City, DUB D01"
245024,Samsung Galaxy S10,1,779.0,10/29/19 22:27,"495 14th St, Cork City, COR T12"
245025,AA Batteries (4-pack),1,3.84,10/29/19 09:00,"521 South Street St, Dunboyne, MEA A86"
245026,34in Ultrawide Monitor,1,379.99,10/11/19 09:05,"984 Forest St, Dundalk, LOU A91"
245027,27in FHD Monitor,1,149.99,10/03/19 13:49,"565 Fosters Place St, Dublin City, DUB D01"
245028,Lightning Charging Cable,1,14.95,10/28/19 19:26,"276 Center St, Galway City, GAL H91"
245029,USB-C Charging Cable,1,11.95,10/22/19 10:29,"791 Grand Canal Way St, Galway City, GAL H91"
245030,USB-C Charging Cable,1,11.95,10/04/19 14:22,"474 Hill St, Monaghan Town, MON H18"
