Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
231363,Wired Headphones,2,11.99,09/06/19 00:10,"364 South Street St, Dunboyne, MEA A86"
231364,Lightning Charging Cable,1,14.95,09/29/19 19:14,"273 West Moreland Street St, Wexford City, WEX Y35"
231365,Lightning Charging Cable,1,14.95,09/29/19 17:49,"210 Johnson St, Cork City, COR T12"
231366,AAA Batteries (4-pack),2,2.99,09/02/19 15:58,"231 Cherry Orchid St, Dunboyne, MEA A86"
231367,USB-C Charging Cable,1,11.95,09/19/19 13:07,"45 Chestnut Grove St, Wexford City, WEX Y35"
231367,Dell XPS 13 Laptop,1,1200.0,09/19/19 13:07,"45 Chestnut Grove St, Wexford City, WEX Y35"
231368,USB-C Charging Cable,1,11.95,09/20/19 23:06,"85 Sunset St, Dunboyne, MEA A86"
231369,Sony WH-1000X M3 Headphones,1,300.0,09/13/19 16:40,"631 Andrews Lane St, Dunboyne, MEA A86"
231370,Wired Headphones,1,11.99,09/29/19 16:12,"315 Crane Lane St, Galway City, GAL H91"
231371,Macbook Pro Laptop,1,1700.0,09/18/19 23:26,"606 Lakeview St, Wexford City, WEX Y35"
231372,Apple Airpods Headphones,1,150.0,09/07/19 18:22,"179 Fosters Place St, Limerick City, LIM V94"
231373,34in Ultrawide Monitor,1,379.99,09/08/19 12:30,"835 Lincoln St, Cork City, COR T12"
231374,AA Batteries (4-pack),1,3.84,09/13/19 18:15,"98 Ridge St, Galway City, GAL H91"
231375,34in Ultrawide Monitor,1,379.99,09/12/19 23:05,"894 Chestnut Grove St, Monaghan Town, MON H18"
231376,Lightning Charging Cable,1,14.95,09/08/19 17:54,"925 West Moreland Street St, Monaghan Town, MON H18"
231377,AA Batteries (4-pack),2,3.84,09/28/19 23:02,"169 Forest St, Dublin City, DUB D01"
231378,34in Ultrawide Monitor,1,379.99,09/27/19 21:29,"132 Exchange Street St, Dublin City, DUB D01"
231379,AA Batteries (4-pack),1,3.84,09/23/19 23:05,"353 Earl Street St, Cork City, COR T12"
231380,USB-C Charging Cable,1,11.95,09/14/19 13:38,"65 Lake St, Limerick City, LIM V94"
231381,Lightning Charging Cable,1,14.95,09/01/19 20:36,"606 Jefferson Street St, Kilkenny Town, KIL R95"
231382,Lightning Charging Cable,1,14.95,09/10/19 17:50,"219 Crane Lane St, Dublin City, DUB D01"
231383,27in 4K Gaming Monitor,1,389.99,09/25/19 15:28,"128 Pine St, Cork City, COR T12"
231384,Lightning Charging Cable,1,14.95,09/01/19 19:26,"905 Jefferson Street St, Dublin City, DUB D01"
231385,USB-C Charging Cable,1,11.95,09/18/19 11:00,"868 South Street St, Monaghan Town, MON H18"
231386,Wired Headphones,1,11.99,09/30/19 18:43,"181 Exchange Street St, Dublin City, DUB D01"
231387,AAA Batteries (4-pack),3,2.99,09/12/19 11:34,"604 West Moreland Street St, Limerick City, LIM V94"
231388,Lightning Charging Cable,1,14.95,09/17/19 08:33,"37 Fosters Place St, Galway City, GAL H91"
231389,27in FHD Monitor,1,149.99,09/24/19 19:46,"703 Ridge St, Galway City, GAL H91"
231390,Wired Headphones,2,11.99,09/04/19 09:35,"578 13th St, Dublin City, DUB D01"
231391,Sony WH-1000X M3 Headphones,1,300.0,09/15/19 01:17,"60 Main St, Wexford City, WEX Y35"
231392,AAA Batteries (4-pack),1,2.99,09/10/19 19:32,"221 Hill St, Dundalk, LOU A91"
